a	b
O14530	O15355
O14530	O43290
O14530	P0DPH7
O14530	P14314
O14530	P14314-2
O14530	P22626-2
O14530	P31689
O14530	P35243
O14530	P35527
O14530	P38432
O14530	P39023
O14530	P61247
O14530	P62330
O14530	Q04724
O14530	Q13432
O14530	Q15796-2
O14530	Q15797
O14530	Q3ZCM7
O14530	Q5VWN6
O14530	Q68D86
O14530	Q6PJP8
O14530	Q70CQ2
O14530	Q86YZ3
O14530	Q8IX01
O14530	Q8N129
O14530	Q8WTT2
O14530	Q92597
O14530	Q96A57
O14530	Q99418
O14530	Q9BQ39
O14530	Q9BRR8
O14530	Q9BZV1-2
O14530	Q9H501
O14530	Q9HCE7-2
O14530	Q9HCU4
O14530	Q9NYB0
O14530	Q9Y6M5
O14530	P49703
B2RXF5	O14530
O00305	O14530
O00746	O14530
O14530	O75955
O14530	P19237
O14530	P20807
O14530	P25786
O14530	P50221
O14530	P50222
O14530	P54136
O14530	Q08426
O14530	Q16877
O14530	Q16877-2
O14530	Q2TBE0
O14530	Q3B820
O14530	Q3SY00
O14530	Q6NX45
O14530	Q6ZNG0
O14530	Q6ZV73
O14530	Q86YV0
O14530	Q8IZD4
O14530	Q8N0S2
O14530	Q8N5R6-4
O14530	Q8N8B7
O14530	Q8N8B7-2
O14530	Q8TBB1
O14530	Q8TD31
O14530	Q8TEC5
O14530	Q96BZ8
O14530	Q96CN5
O14530	Q96GM5
O14530	Q96HB5
O14530	Q96LK0
O14530	Q96MA6
O14530	Q9BWD3
O14530	Q9BYV2
O14530	Q9H0I2
O14530	Q9H6F5
O14530	Q9HD26
O14530	Q9NPJ8
O14530	Q9NRI5
O14530	Q9NYB9
O14530	Q9NYJ8
O14530	Q9P2K3
O14530	Q9P2M7
O14530	Q9Y250
O14530	Q9Y2Y4
O14530	Q9Y586
O15355	O43290
O15355	P0DPH7
O15355	P14314
O15355	P14314-2
O15355	P22626-2
O15355	P31689
O15355	P35243
O15355	P35527
O15355	P38432
O15355	P39023
O15355	P61247
O15355	P62330
O15355	Q04724
O15355	Q13432
O15355	Q15796-2
O15355	Q15797
O15355	Q3ZCM7
O15355	Q5VWN6
O15355	Q68D86
O15355	Q6PJP8
O15355	Q70CQ2
O15355	Q86YZ3
O15355	Q8IX01
O15355	Q8N129
O15355	Q8WTT2
O15355	Q92597
O15355	Q96A57
O15355	Q99418
O15355	Q9BQ39
O15355	Q9BRR8
O15355	Q9BZV1-2
O15355	Q9H501
O15355	Q9HCE7-2
O15355	Q9HCU4
O15355	Q9NYB0
O15355	Q9Y6M5
O15355	P49703
B2RXF5	O15355
O00305	O15355
O00746	O15355
O15355	O75955
O15355	P19237
O15355	P20807
O15355	P25786
O15355	P50221
O15355	P50222
O15355	P54136
O15355	Q08426
O15355	Q16877
O15355	Q16877-2
O15355	Q2TBE0
O15355	Q3B820
O15355	Q3SY00
O15355	Q6NX45
O15355	Q6ZNG0
O15355	Q6ZV73
O15355	Q86YV0
O15355	Q8IZD4
O15355	Q8N0S2
O15355	Q8N5R6-4
O15355	Q8N8B7
O15355	Q8N8B7-2
O15355	Q8TBB1
O15355	Q8TD31
O15355	Q8TEC5
O15355	Q96BZ8
O15355	Q96CN5
O15355	Q96GM5
O15355	Q96HB5
O15355	Q96LK0
O15355	Q96MA6
O15355	Q9BWD3
O15355	Q9BYV2
O15355	Q9H0I2
O15355	Q9H6F5
O15355	Q9HD26
O15355	Q9NPJ8
O15355	Q9NRI5
O15355	Q9NYB9
O15355	Q9NYJ8
O15355	Q9P2K3
O15355	Q9P2M7
O15355	Q9Y250
O15355	Q9Y2Y4
O15355	Q9Y586
O43290	P0DPH7
O43290	P14314
O43290	P14314-2
O43290	P22626-2
O43290	P31689
O43290	P35243
O43290	P35527
O43290	P38432
O43290	P39023
O43290	P61247
O43290	P62330
O43290	Q04724
O43290	Q13432
O43290	Q15796-2
O43290	Q15797
O43290	Q3ZCM7
O43290	Q5VWN6
O43290	Q68D86
O43290	Q6PJP8
O43290	Q70CQ2
O43290	Q86YZ3
O43290	Q8IX01
O43290	Q8N129
O43290	Q8WTT2
O43290	Q92597
O43290	Q96A57
O43290	Q99418
O43290	Q9BQ39
O43290	Q9BRR8
O43290	Q9BZV1-2
O43290	Q9H501
O43290	Q9HCE7-2
O43290	Q9HCU4
O43290	Q9NYB0
O43290	Q9Y6M5
O43290	P49703
B2RXF5	O43290
O00305	O43290
O00746	O43290
O43290	O75955
O43290	P19237
O43290	P20807
O43290	P25786
O43290	P50221
O43290	P50222
O43290	P54136
O43290	Q08426
O43290	Q16877
O43290	Q16877-2
O43290	Q2TBE0
O43290	Q3B820
O43290	Q3SY00
O43290	Q6NX45
O43290	Q6ZNG0
O43290	Q6ZV73
O43290	Q86YV0
O43290	Q8IZD4
O43290	Q8N0S2
O43290	Q8N5R6-4
O43290	Q8N8B7
O43290	Q8N8B7-2
O43290	Q8TBB1
O43290	Q8TD31
O43290	Q8TEC5
O43290	Q96BZ8
O43290	Q96CN5
O43290	Q96GM5
O43290	Q96HB5
O43290	Q96LK0
O43290	Q96MA6
O43290	Q9BWD3
O43290	Q9BYV2
O43290	Q9H0I2
O43290	Q9H6F5
O43290	Q9HD26
O43290	Q9NPJ8
O43290	Q9NRI5
O43290	Q9NYB9
O43290	Q9NYJ8
O43290	Q9P2K3
O43290	Q9P2M7
O43290	Q9Y250
O43290	Q9Y2Y4
O43290	Q9Y586
P0DPH7	P14314
P0DPH7	P14314-2
P0DPH7	P22626-2
P0DPH7	P31689
P0DPH7	P35243
P0DPH7	P35527
P0DPH7	P38432
P0DPH7	P39023
P0DPH7	P61247
P0DPH7	P62330
P0DPH7	Q04724
P0DPH7	Q13432
P0DPH7	Q15796-2
P0DPH7	Q15797
P0DPH7	Q3ZCM7
P0DPH7	Q5VWN6
P0DPH7	Q68D86
P0DPH7	Q6PJP8
P0DPH7	Q70CQ2
P0DPH7	Q86YZ3
P0DPH7	Q8IX01
P0DPH7	Q8N129
P0DPH7	Q8WTT2
P0DPH7	Q92597
P0DPH7	Q96A57
P0DPH7	Q99418
P0DPH7	Q9BQ39
P0DPH7	Q9BRR8
P0DPH7	Q9BZV1-2
P0DPH7	Q9H501
P0DPH7	Q9HCE7-2
P0DPH7	Q9HCU4
P0DPH7	Q9NYB0
P0DPH7	Q9Y6M5
P0DPH7	P49703
B2RXF5	P0DPH7
O00305	P0DPH7
O00746	P0DPH7
O75955	P0DPH7
P0DPH7	P19237
P0DPH7	P20807
P0DPH7	P25786
P0DPH7	P50221
P0DPH7	P50222
P0DPH7	P54136
P0DPH7	Q08426
P0DPH7	Q16877
P0DPH7	Q16877-2
P0DPH7	Q2TBE0
P0DPH7	Q3B820
P0DPH7	Q3SY00
P0DPH7	Q6NX45
P0DPH7	Q6ZNG0
P0DPH7	Q6ZV73
P0DPH7	Q86YV0
P0DPH7	Q8IZD4
P0DPH7	Q8N0S2
P0DPH7	Q8N5R6-4
P0DPH7	Q8N8B7
P0DPH7	Q8N8B7-2
P0DPH7	Q8TBB1
P0DPH7	Q8TD31
P0DPH7	Q8TEC5
P0DPH7	Q96BZ8
P0DPH7	Q96CN5
P0DPH7	Q96GM5
P0DPH7	Q96HB5
P0DPH7	Q96LK0
P0DPH7	Q96MA6
P0DPH7	Q9BWD3
P0DPH7	Q9BYV2
P0DPH7	Q9H0I2
P0DPH7	Q9H6F5
P0DPH7	Q9HD26
P0DPH7	Q9NPJ8
P0DPH7	Q9NRI5
P0DPH7	Q9NYB9
P0DPH7	Q9NYJ8
P0DPH7	Q9P2K3
P0DPH7	Q9P2M7
P0DPH7	Q9Y250
P0DPH7	Q9Y2Y4
P0DPH7	Q9Y586
P14314	P14314-2
P14314	P22626-2
P14314	P31689
P14314	P35243
P14314	P35527
P14314	P38432
P14314	P39023
P14314	P61247
P14314	P62330
P14314	Q04724
P14314	Q13432
P14314	Q15796-2
P14314	Q15797
P14314	Q3ZCM7
P14314	Q5VWN6
P14314	Q68D86
P14314	Q6PJP8
P14314	Q70CQ2
P14314	Q86YZ3
P14314	Q8IX01
P14314	Q8N129
P14314	Q8WTT2
P14314	Q92597
P14314	Q96A57
P14314	Q99418
P14314	Q9BQ39
P14314	Q9BRR8
P14314	Q9BZV1-2
P14314	Q9H501
P14314	Q9HCE7-2
P14314	Q9HCU4
P14314	Q9NYB0
P14314	Q9Y6M5
P14314	P49703
B2RXF5	P14314
O00305	P14314
O00746	P14314
O75955	P14314
P14314	P19237
P14314	P20807
P14314	P25786
P14314	P50221
P14314	P50222
P14314	P54136
P14314	Q08426
P14314	Q16877
P14314	Q16877-2
P14314	Q2TBE0
P14314	Q3B820
P14314	Q3SY00
P14314	Q6NX45
P14314	Q6ZNG0
P14314	Q6ZV73
P14314	Q86YV0
P14314	Q8IZD4
P14314	Q8N0S2
P14314	Q8N5R6-4
P14314	Q8N8B7
P14314	Q8N8B7-2
P14314	Q8TBB1
P14314	Q8TD31
P14314	Q8TEC5
P14314	Q96BZ8
P14314	Q96CN5
P14314	Q96GM5
P14314	Q96HB5
P14314	Q96LK0
P14314	Q96MA6
P14314	Q9BWD3
P14314	Q9BYV2
P14314	Q9H0I2
P14314	Q9H6F5
P14314	Q9HD26
P14314	Q9NPJ8
P14314	Q9NRI5
P14314	Q9NYB9
P14314	Q9NYJ8
P14314	Q9P2K3
P14314	Q9P2M7
P14314	Q9Y250
P14314	Q9Y2Y4
P14314	Q9Y586
P14314-2	P22626-2
P14314-2	P31689
P14314-2	P35243
P14314-2	P35527
P14314-2	P38432
P14314-2	P39023
P14314-2	P61247
P14314-2	P62330
P14314-2	Q04724
P14314-2	Q13432
P14314-2	Q15796-2
P14314-2	Q15797
P14314-2	Q3ZCM7
P14314-2	Q5VWN6
P14314-2	Q68D86
P14314-2	Q6PJP8
P14314-2	Q70CQ2
P14314-2	Q86YZ3
P14314-2	Q8IX01
P14314-2	Q8N129
P14314-2	Q8WTT2
P14314-2	Q92597
P14314-2	Q96A57
P14314-2	Q99418
P14314-2	Q9BQ39
P14314-2	Q9BRR8
P14314-2	Q9BZV1-2
P14314-2	Q9H501
P14314-2	Q9HCE7-2
P14314-2	Q9HCU4
P14314-2	Q9NYB0
P14314-2	Q9Y6M5
P14314-2	P49703
B2RXF5	P14314-2
O00305	P14314-2
O00746	P14314-2
O75955	P14314-2
P14314-2	P19237
P14314-2	P20807
P14314-2	P25786
P14314-2	P50221
P14314-2	P50222
P14314-2	P54136
P14314-2	Q08426
P14314-2	Q16877
P14314-2	Q16877-2
P14314-2	Q2TBE0
P14314-2	Q3B820
P14314-2	Q3SY00
P14314-2	Q6NX45
P14314-2	Q6ZNG0
P14314-2	Q6ZV73
P14314-2	Q86YV0
P14314-2	Q8IZD4
P14314-2	Q8N0S2
P14314-2	Q8N5R6-4
P14314-2	Q8N8B7
P14314-2	Q8N8B7-2
P14314-2	Q8TBB1
P14314-2	Q8TD31
P14314-2	Q8TEC5
P14314-2	Q96BZ8
P14314-2	Q96CN5
P14314-2	Q96GM5
P14314-2	Q96HB5
P14314-2	Q96LK0
P14314-2	Q96MA6
P14314-2	Q9BWD3
P14314-2	Q9BYV2
P14314-2	Q9H0I2
P14314-2	Q9H6F5
P14314-2	Q9HD26
P14314-2	Q9NPJ8
P14314-2	Q9NRI5
P14314-2	Q9NYB9
P14314-2	Q9NYJ8
P14314-2	Q9P2K3
P14314-2	Q9P2M7
P14314-2	Q9Y250
P14314-2	Q9Y2Y4
P14314-2	Q9Y586
P22626-2	P31689
P22626-2	P35243
P22626-2	P35527
P22626-2	P38432
P22626-2	P39023
P22626-2	P61247
P22626-2	P62330
P22626-2	Q04724
P22626-2	Q13432
P22626-2	Q15796-2
P22626-2	Q15797
P22626-2	Q3ZCM7
P22626-2	Q5VWN6
P22626-2	Q68D86
P22626-2	Q6PJP8
P22626-2	Q70CQ2
P22626-2	Q86YZ3
P22626-2	Q8IX01
P22626-2	Q8N129
P22626-2	Q8WTT2
P22626-2	Q92597
P22626-2	Q96A57
P22626-2	Q99418
P22626-2	Q9BQ39
P22626-2	Q9BRR8
P22626-2	Q9BZV1-2
P22626-2	Q9H501
P22626-2	Q9HCE7-2
P22626-2	Q9HCU4
P22626-2	Q9NYB0
P22626-2	Q9Y6M5
P22626-2	P49703
B2RXF5	P22626-2
O00305	P22626-2
O00746	P22626-2
O75955	P22626-2
P19237	P22626-2
P20807	P22626-2
P22626-2	P25786
P22626-2	P50221
P22626-2	P50222
P22626-2	P54136
P22626-2	Q08426
P22626-2	Q16877
P22626-2	Q16877-2
P22626-2	Q2TBE0
P22626-2	Q3B820
P22626-2	Q3SY00
P22626-2	Q6NX45
P22626-2	Q6ZNG0
P22626-2	Q6ZV73
P22626-2	Q86YV0
P22626-2	Q8IZD4
P22626-2	Q8N0S2
P22626-2	Q8N5R6-4
P22626-2	Q8N8B7
P22626-2	Q8N8B7-2
P22626-2	Q8TBB1
P22626-2	Q8TD31
P22626-2	Q8TEC5
P22626-2	Q96BZ8
P22626-2	Q96CN5
P22626-2	Q96GM5
P22626-2	Q96HB5
P22626-2	Q96LK0
P22626-2	Q96MA6
P22626-2	Q9BWD3
P22626-2	Q9BYV2
P22626-2	Q9H0I2
P22626-2	Q9H6F5
P22626-2	Q9HD26
P22626-2	Q9NPJ8
P22626-2	Q9NRI5
P22626-2	Q9NYB9
P22626-2	Q9NYJ8
P22626-2	Q9P2K3
P22626-2	Q9P2M7
P22626-2	Q9Y250
P22626-2	Q9Y2Y4
P22626-2	Q9Y586
P31689	P35243
P31689	P35527
P31689	P38432
P31689	P39023
P31689	P61247
P31689	P62330
P31689	Q04724
P31689	Q13432
P31689	Q15796-2
P31689	Q15797
P31689	Q3ZCM7
P31689	Q5VWN6
P31689	Q68D86
P31689	Q6PJP8
P31689	Q70CQ2
P31689	Q86YZ3
P31689	Q8IX01
P31689	Q8N129
P31689	Q8WTT2
P31689	Q92597
P31689	Q96A57
P31689	Q99418
P31689	Q9BQ39
P31689	Q9BRR8
P31689	Q9BZV1-2
P31689	Q9H501
P31689	Q9HCE7-2
P31689	Q9HCU4
P31689	Q9NYB0
P31689	Q9Y6M5
P31689	P49703
B2RXF5	P31689
O00305	P31689
O00746	P31689
O75955	P31689
P19237	P31689
P20807	P31689
P25786	P31689
P31689	P50221
P31689	P50222
P31689	P54136
P31689	Q08426
P31689	Q16877
P31689	Q16877-2
P31689	Q2TBE0
P31689	Q3B820
P31689	Q3SY00
P31689	Q6NX45
P31689	Q6ZNG0
P31689	Q6ZV73
P31689	Q86YV0
P31689	Q8IZD4
P31689	Q8N0S2
P31689	Q8N5R6-4
P31689	Q8N8B7
P31689	Q8N8B7-2
P31689	Q8TBB1
P31689	Q8TD31
P31689	Q8TEC5
P31689	Q96BZ8
P31689	Q96CN5
P31689	Q96GM5
P31689	Q96HB5
P31689	Q96LK0
P31689	Q96MA6
P31689	Q9BWD3
P31689	Q9BYV2
P31689	Q9H0I2
P31689	Q9H6F5
P31689	Q9HD26
P31689	Q9NPJ8
P31689	Q9NRI5
P31689	Q9NYB9
P31689	Q9NYJ8
P31689	Q9P2K3
P31689	Q9P2M7
P31689	Q9Y250
P31689	Q9Y2Y4
P31689	Q9Y586
P35243	P35527
P35243	P38432
P35243	P39023
P35243	P61247
P35243	P62330
P35243	Q04724
P35243	Q13432
P35243	Q15796-2
P35243	Q15797
P35243	Q3ZCM7
P35243	Q5VWN6
P35243	Q68D86
P35243	Q6PJP8
P35243	Q70CQ2
P35243	Q86YZ3
P35243	Q8IX01
P35243	Q8N129
P35243	Q8WTT2
P35243	Q92597
P35243	Q96A57
P35243	Q99418
P35243	Q9BQ39
P35243	Q9BRR8
P35243	Q9BZV1-2
P35243	Q9H501
P35243	Q9HCE7-2
P35243	Q9HCU4
P35243	Q9NYB0
P35243	Q9Y6M5
P35243	P49703
B2RXF5	P35243
O00305	P35243
O00746	P35243
O75955	P35243
P19237	P35243
P20807	P35243
P25786	P35243
P35243	P50221
P35243	P50222
P35243	P54136
P35243	Q08426
P35243	Q16877
P35243	Q16877-2
P35243	Q2TBE0
P35243	Q3B820
P35243	Q3SY00
P35243	Q6NX45
P35243	Q6ZNG0
P35243	Q6ZV73
P35243	Q86YV0
P35243	Q8IZD4
P35243	Q8N0S2
P35243	Q8N5R6-4
P35243	Q8N8B7
P35243	Q8N8B7-2
P35243	Q8TBB1
P35243	Q8TD31
P35243	Q8TEC5
P35243	Q96BZ8
P35243	Q96CN5
P35243	Q96GM5
P35243	Q96HB5
P35243	Q96LK0
P35243	Q96MA6
P35243	Q9BWD3
P35243	Q9BYV2
P35243	Q9H0I2
P35243	Q9H6F5
P35243	Q9HD26
P35243	Q9NPJ8
P35243	Q9NRI5
P35243	Q9NYB9
P35243	Q9NYJ8
P35243	Q9P2K3
P35243	Q9P2M7
P35243	Q9Y250
P35243	Q9Y2Y4
P35243	Q9Y586
P35527	P38432
P35527	P39023
P35527	P61247
P35527	P62330
P35527	Q04724
P35527	Q13432
P35527	Q15796-2
P35527	Q15797
P35527	Q3ZCM7
P35527	Q5VWN6
P35527	Q68D86
P35527	Q6PJP8
P35527	Q70CQ2
P35527	Q86YZ3
P35527	Q8IX01
P35527	Q8N129
P35527	Q8WTT2
P35527	Q92597
P35527	Q96A57
P35527	Q99418
P35527	Q9BQ39
P35527	Q9BRR8
P35527	Q9BZV1-2
P35527	Q9H501
P35527	Q9HCE7-2
P35527	Q9HCU4
P35527	Q9NYB0
P35527	Q9Y6M5
P35527	P49703
B2RXF5	P35527
O00305	P35527
O00746	P35527
O75955	P35527
P19237	P35527
P20807	P35527
P25786	P35527
P35527	P50221
P35527	P50222
P35527	P54136
P35527	Q08426
P35527	Q16877
P35527	Q16877-2
P35527	Q2TBE0
P35527	Q3B820
P35527	Q3SY00
P35527	Q6NX45
P35527	Q6ZNG0
P35527	Q6ZV73
P35527	Q86YV0
P35527	Q8IZD4
P35527	Q8N0S2
P35527	Q8N5R6-4
P35527	Q8N8B7
P35527	Q8N8B7-2
P35527	Q8TBB1
P35527	Q8TD31
P35527	Q8TEC5
P35527	Q96BZ8
P35527	Q96CN5
P35527	Q96GM5
P35527	Q96HB5
P35527	Q96LK0
P35527	Q96MA6
P35527	Q9BWD3
P35527	Q9BYV2
P35527	Q9H0I2
P35527	Q9H6F5
P35527	Q9HD26
P35527	Q9NPJ8
P35527	Q9NRI5
P35527	Q9NYB9
P35527	Q9NYJ8
P35527	Q9P2K3
P35527	Q9P2M7
P35527	Q9Y250
P35527	Q9Y2Y4
P35527	Q9Y586
P38432	P39023
P38432	P61247
P38432	P62330
P38432	Q04724
P38432	Q13432
P38432	Q15796-2
P38432	Q15797
P38432	Q3ZCM7
P38432	Q5VWN6
P38432	Q68D86
P38432	Q6PJP8
P38432	Q70CQ2
P38432	Q86YZ3
P38432	Q8IX01
P38432	Q8N129
P38432	Q8WTT2
P38432	Q92597
P38432	Q96A57
P38432	Q99418
P38432	Q9BQ39
P38432	Q9BRR8
P38432	Q9BZV1-2
P38432	Q9H501
P38432	Q9HCE7-2
P38432	Q9HCU4
P38432	Q9NYB0
P38432	Q9Y6M5
P38432	P49703
B2RXF5	P38432
O00305	P38432
O00746	P38432
O75955	P38432
P19237	P38432
P20807	P38432
P25786	P38432
P38432	P50221
P38432	P50222
P38432	P54136
P38432	Q08426
P38432	Q16877
P38432	Q16877-2
P38432	Q2TBE0
P38432	Q3B820
P38432	Q3SY00
P38432	Q6NX45
P38432	Q6ZNG0
P38432	Q6ZV73
P38432	Q86YV0
P38432	Q8IZD4
P38432	Q8N0S2
P38432	Q8N5R6-4
P38432	Q8N8B7
P38432	Q8N8B7-2
P38432	Q8TBB1
P38432	Q8TD31
P38432	Q8TEC5
P38432	Q96BZ8
P38432	Q96CN5
P38432	Q96GM5
P38432	Q96HB5
P38432	Q96LK0
P38432	Q96MA6
P38432	Q9BWD3
P38432	Q9BYV2
P38432	Q9H0I2
P38432	Q9H6F5
P38432	Q9HD26
P38432	Q9NPJ8
P38432	Q9NRI5
P38432	Q9NYB9
P38432	Q9NYJ8
P38432	Q9P2K3
P38432	Q9P2M7
P38432	Q9Y250
P38432	Q9Y2Y4
P38432	Q9Y586
P39023	P61247
P39023	P62330
P39023	Q04724
P39023	Q13432
P39023	Q15796-2
P39023	Q15797
P39023	Q3ZCM7
P39023	Q5VWN6
P39023	Q68D86
P39023	Q6PJP8
P39023	Q70CQ2
P39023	Q86YZ3
P39023	Q8IX01
P39023	Q8N129
P39023	Q8WTT2
P39023	Q92597
P39023	Q96A57
P39023	Q99418
P39023	Q9BQ39
P39023	Q9BRR8
P39023	Q9BZV1-2
P39023	Q9H501
P39023	Q9HCE7-2
P39023	Q9HCU4
P39023	Q9NYB0
P39023	Q9Y6M5
P39023	P49703
B2RXF5	P39023
O00305	P39023
O00746	P39023
O75955	P39023
P19237	P39023
P20807	P39023
P25786	P39023
